Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Senior
33.0,0,2,49,7.0,85000.0,4,5,0
40.0,1,1,50,12.0,60000.0,3,0,0
47.0,0,2,51,19.0,200000.0,4,2,0
29.0,1,1,52,3.0,50000.0,2,9,0
36.0,0,1,7,9.0,95000.0,3,3,0
27.0,1,2,53,2.0,65000.0,2,0,0
43.0,0,3,17,17.0,140000.0,1,1,1
30.0,1,1,54,4.0,55000.0,2,0,0
35.0,0,2,6,7.0,105000.0,2,2,0
51.0,1,2,55,23.0,170000.0,1,7,0
29.0,0,1,5,3.0,50000.0,3,4,0
40.0,1,1,11,12.0,80000.0,3,3,0
47.0,0,3,32,21.0,180000.0,3,0,1
26.0,0,1,31,1.0,35000.0,4,5,0
38.0,1,2,56,10.0,90000.0,3,3,0
46.0,0,1,57,19.0,120000.0,4,5,0
31.0,1,1,58,5.0,45000.0,2,2,0
34.0,0,2,59,8.0,90000.0,2,2,0
49.0,1,2,12,18.0,150000.0,2,0,1
33.0,0,1,60,6.0,65000.0,1,1,0
39.0,1,1,23,11.0,70000.0,1,2,0
45.0,0,3,61,16.0,190000.0,0,8,0
28.0,0,1,62,2.0,40000.0,3,3,0
42.0,1,2,63,14.0,120000.0,2,9,0
37.0,0,1,13,10.0,95000.0,1,2,0
50.0,1,1,15,22.0,160000.0,1,0,0
32.0,0,2,0,6.0,100000.0,1,7,1
48.0,1,2,64,20.0,180000.0,2,9,0
30.0,1,1,65,3.0,55000.0,4,0,0
36.0,0,1,66,8.0,70000.0,0,2,0
41.0,1,2,1,13.0,80000.0,1,0,0
25.0,0,1,67,0.0,30000.0,4,2,0
52.0,0,3,68,24.0,250000.0,2,9,0
29.0,1,1,69,2.0,40000.0,4,2,0
34.0,1,2,70,10.0,95000.0,0,0,0
27.0,0,1,45,2.0,45000.0,2,0,0
40.0,1,1,35,15.0,80000.0,1,1,0
46.0,0,2,13,21.0,135000.0,2,2,1
31.0,1,1,8,6.0,55000.0,4,2,0
36.0,0,3,71,11.0,120000.0,0,8,0
29.0,1,1,3,3.0,40000.0,3,0,0
43.0,0,1,72,18.0,105000.0,0,6,0
52.0,1,2,16,25.0,170000.0,3,4,1
33.0,0,1,20,7.0,75000.0,4,5,0
39.0,1,1,73,12.0,65000.0,1,7,0
47.0,0,3,74,22.0,160000.0,4,2,0
26.0,0,1,10,1.0,35000.0,3,0,0
38.0,1,2,75,10.0,90000.0,0,2,0
45.0,0,1,76,20.0,110000.0,3,4,0
31.0,1,1,50,5.0,45000.0,4,2,0
35.0,0,2,77,8.0,95000.0,3,0,0
49.0,1,2,11,19.0,150000.0,4,0,1
33.0,0,1,60,5.0,50000.0,2,2,0
39.0,1,2,78,13.0,80000.0,0,6,1
44.0,0,3,79,16.0,220000.0,1,7,0
30.0,1,1,80,3.0,50000.0,0,0,0
36.0,0,1,81,7.0,60000.0,1,2,0
41.0,1,2,5,14.0,100000.0,1,0,1
28.0,0,1,82,2.0,40000.0,1,1,0
42.0,1,2,52,15.0,110000.0,1,2,1
37.0,0,1,83,9.0,95000.0,0,0,0
50.0,1,1,84,22.0,130000.0,0,6,0
32.0,0,2,20,6.0,90000.0,1,2,1
23.0,1,1,5,0.5,35000.0,1,0,0
31.0,0,2,12,6.0,95000.0,4,2,1
40.0,1,1,85,15.0,65000.0,1,0,0
48.0,0,3,86,20.0,170000.0,1,1,0
29.0,1,1,35,3.0,45000.0,4,5,0
35.0,0,2,6,10.0,120000.0,2,0,1
42.0,1,1,7,17.0,100000.0,3,3,0
53.0,0,2,46,25.0,180000.0,0,8,0
33.0,1,1,76,5.0,50000.0,4,5,0
38.0,0,1,48,11.0,80000.0,3,0,0
44.0,1,3,9,16.0,140000.0,0,8,1
26.0,0,1,31,2.0,40000.0,0,0,0
37.0,1,2,35,9.0,95000.0,1,7,1
45.0,0,1,87,18.0,110000.0,0,0,0
32.0,1,1,8,4.0,50000.0,1,0,0
34.0,0,2,10,8.0,105000.0,2,0,1
50.0,1,2,55,21.0,160000.0,0,0,0
29.0,0,1,88,3.0,45000.0,3,0,0
40.0,1,2,73,12.0,100000.0,2,9,1
47.0,0,3,74,22.0,160000.0,1,1,1
27.0,0,1,67,1.0,35000.0,0,8,0
39.0,1,1,42,10.0,55000.0,2,9,0
46.0,0,2,13,19.0,140000.0,2,9,1
30.0,1,1,16,4.0,50000.0,2,0,0
36.0,0,1,1,7.0,60000.0,4,2,0
43.0,1,2,77,14.0,120000.0,4,0,1
28.0,0,1,20,2.0,40000.0,1,0,0
41.0,1,2,16,13.0,110000.0,4,5,1
33.0,0,1,10,5.0,50000.0,1,1,0
47.0,0,1,7,20.0,135000.0,3,0,1
25.0,1,2,33,1.5,40000.0,4,2,0
34.0,0,1,20,8.0,90000.0,4,2,1
42.0,1,3,32,16.0,150000.0,3,4,1
31.0,0,1,13,4.0,60000.0,0,6,0
38.0,1,1,31,10.0,80000.0,1,7,1
45.0,0,2,89,19.0,175000.0,2,9,0
29.0,1,1,23,3.0,45000.0,4,5,0
36.0,0,2,59,11.0,120000.0,2,9,1
43.0,1,3,29,18.0,140000.0,4,2,1
26.0,0,1,90,2.0,35000.0,1,2,0
37.0,1,2,5,9.0,95000.0,2,0,1
44.0,0,1,81,14.0,110000.0,1,7,1
32.0,1,1,12,5.0,50000.0,1,2,0
33.0,0,2,15,7.0,115000.0,3,3,1
51.0,1,3,91,23.0,185000.0,3,4,0
28.0,0,1,0,2.0,40000.0,4,0,0
39.0,1,1,67,12.0,90000.0,1,2,1
48.0,0,2,92,21.0,175000.0,1,2,0
30.0,1,1,44,3.0,45000.0,0,8,0
35.0,0,1,8,7.0,80000.0,3,0,1
41.0,1,2,93,13.0,120000.0,3,3,1
27.0,0,1,94,1.5,35000.0,3,0,0
40.0,1,1,45,14.0,110000.0,4,5,1
46.0,0,3,95,18.0,150000.0,2,9,1
31.0,1,1,96,4.0,50000.0,3,3,0
34.0,0,2,0,9.0,105000.0,3,3,1
50.0,1,2,97,20.0,180000.0,4,5,0
29.0,0,1,8,2.0,40000.0,2,2,0
43.0,0,1,13,16.0,140000.0,0,0,1
26.0,1,2,32,1.5,45000.0,2,2,0
35.0,0,1,76,7.0,85000.0,3,0,1
42.0,1,3,16,18.0,140000.0,0,2,1
31.0,0,1,31,4.0,50000.0,0,6,0
38.0,1,1,98,10.0,80000.0,0,2,1
46.0,0,2,55,20.0,170000.0,1,2,0
29.0,1,1,67,2.0,40000.0,0,6,0
37.0,0,2,20,9.0,105000.0,3,4,1
44.0,1,3,39,15.0,145000.0,1,1,1
27.0,0,1,6,2.0,40000.0,1,1,0
36.0,1,1,33,8.0,85000.0,1,7,1
43.0,0,1,99,14.0,130000.0,3,4,1
33.0,1,2,12,6.0,95000.0,2,0,1
34.0,0,1,100,9.0,100000.0,0,8,1
50.0,1,3,101,22.0,180000.0,3,3,0
28.0,0,1,76,1.5,35000.0,0,6,0
39.0,1,1,102,12.0,95000.0,1,7,1
47.0,0,2,103,19.0,170000.0,4,2,0
30.0,1,1,54,3.0,45000.0,4,5,0
34.0,0,1,6,7.0,95000.0,3,4,1
40.0,1,2,104,13.0,120000.0,0,6,1
28.0,0,1,20,2.0,40000.0,1,7,0
41.0,1,1,8,11.0,90000.0,2,2,1
45.0,0,3,1,17.0,155000.0,0,2,1
32.0,1,1,45,5.0,55000.0,4,2,0
35.0,0,2,10,9.0,110000.0,2,2,1
49.0,1,2,105,21.0,180000.0,0,8,0
30.0,0,1,106,3.0,45000.0,0,0,0
44.0,0,1,7,16.0,130000.0,1,2,1
27.0,1,2,39,1.5,45000.0,1,1,0
36.0,0,1,31,7.0,90000.0,2,0,1
41.0,1,3,107,17.0,160000.0,0,8,1
31.0,0,1,35,4.0,50000.0,3,4,0
39.0,1,1,15,10.0,120000.0,4,2,1
47.0,0,2,97,20.0,170000.0,4,5,0
30.0,1,1,8,2.0,40000.0,3,3,0
38.0,0,2,108,9.0,110000.0,3,0,1
45.0,1,3,29,15.0,150000.0,3,4,1
28.0,0,1,94,2.0,40000.0,1,2,0
35.0,1,1,5,8.0,85000.0,1,0,1
44.0,0,1,0,14.0,130000.0,3,4,1
34.0,1,2,70,6.0,100000.0,0,6,1
35.0,0,1,78,9.0,95000.0,2,0,1
50.0,1,3,55,22.0,180000.0,4,5,0
29.0,0,1,109,1.5,35000.0,0,2,0
40.0,1,1,67,12.0,100000.0,3,4,1
48.0,0,2,46,19.0,170000.0,1,1,0
31.0,1,1,25,3.0,45000.0,0,6,0
33.0,0,1,110,7.0,100000.0,1,1,1
42.0,1,2,93,13.0,140000.0,3,0,1
28.0,0,1,12,2.0,40000.0,4,5,0
40.0,1,1,16,11.0,105000.0,0,0,1
46.0,0,3,32,18.0,160000.0,2,0,1
33.0,1,1,15,5.0,70000.0,4,2,0
37.0,0,2,111,9.0,120000.0,4,5,1
51.0,1,2,91,21.0,190000.0,1,1,0
30.0,0,1,33,3.0,45000.0,2,9,0
43.0,0,1,13,15.0,120000.0,2,2,1
27.0,1,2,74,1.5,50000.0,3,0,0
35.0,0,1,76,8.0,85000.0,2,0,1
42.0,1,3,16,13.0,140000.0,2,0,1
32.0,0,1,67,3.0,45000.0,4,0,0
37.0,1,1,12,9.0,100000.0,0,6,1
45.0,0,2,10,16.0,140000.0,4,2,1
33.0,1,1,76,5.0,70000.0,2,2,0
39.0,0,1,33,10.0,120000.0,2,9,1
44.0,1,3,11,18.0,160000.0,2,0,1
29.0,0,1,20,1.5,40000.0,4,5,0
38.0,1,1,6,10.0,120000.0,3,3,1
46.0,0,3,1,19.0,150000.0,0,2,1
34.0,1,1,5,6.0,70000.0,1,2,0
36.0,0,1,15,8.0,95000.0,1,0,1
49.0,1,2,46,21.0,180000.0,2,0,0
31.0,0,1,12,3.0,50000.0,2,9,0
41.0,1,1,78,11.0,95000.0,1,7,1
47.0,0,2,55,20.0,170000.0,2,0,0
30.0,1,1,8,2.0,40000.0,1,0,0
38.0,0,2,108,9.0,110000.0,4,5,1
45.0,1,3,29,15.0,150000.0,3,3,1
28.0,0,1,94,2.0,40000.0,1,2,0
35.0,1,1,5,8.0,85000.0,2,0,1
44.0,0,1,0,14.0,130000.0,4,5,1
34.0,1,2,70,6.0,100000.0,4,5,1
35.0,0,1,78,9.0,95000.0,0,2,1
50.0,1,3,55,22.0,180000.0,4,0,0
29.0,0,1,109,1.5,350.0,1,1,0
37.0,1,1,24,10.0,120000.0,1,7,1
46.0,0,3,32,18.0,160000.0,3,4,1
31.0,1,1,8,3.0,50000.0,4,0,0
42.0,0,1,15,12.0,110000.0,2,9,1
29.0,1,1,67,1.5,40000.0,1,7,0
36.0,0,1,33,8.0,95000.0,0,0,1
44.0,1,2,112,15.0,140000.0,3,4,1
33.0,0,1,15,4.0,60000.0,3,3,0
39.0,1,1,8,9.0,110000.0,3,0,1
45.0,0,3,113,16.0,150000.0,4,2,1
32.0,1,1,16,4.0,60000.0,0,6,0
37.0,0,1,12,8.0,90000.0,4,5,1
47.0,1,2,46,20.0,180000.0,0,8,0
30.0,0,1,20,2.0,40000.0,4,5,0
38.0,1,1,13,9.0,120000.0,0,2,1
46.0,0,3,1,17.0,160000.0,0,2,1
34.0,1,1,12,5.0,70000.0,0,8,0
36.0,0,1,6,8.0,95000.0,4,2,1
49.0,1,2,55,21.0,180000.0,0,8,0
31.0,0,1,76,3.0,50000.0,1,1,0
41.0,1,1,78,11.0,95000.0,2,9,1
47.0,0,2,46,19.0,170000.0,2,0,0
29.0,1,1,94,1.5,35000.0,4,0,0
35.0,0,1,24,9.0,100000.0,2,0,1
44.0,1,3,29,15.0,150000.0,3,0,1
33.0,0,1,20,4.0,60000.0,2,9,0
35.0,1,1,5,8.0,85000.0,3,4,1
44.0,0,1,0,13.0,130000.0,2,0,1
32.0,0,1,6,4.0,65000.0,3,4,0
38.0,1,1,20,10.0,110000.0,4,2,1
49.0,0,3,55,21.0,180000.0,1,2,0
29.0,1,1,33,2.0,40000.0,4,5,0
35.0,0,1,59,7.0,90000.0,1,1,1
45.0,1,2,11,14.0,140000.0,0,6,1
33.0,0,1,12,4.0,60000.0,3,3,0
40.0,1,1,16,12.0,130000.0,4,2,1
44.0,0,3,32,16.0,160000.0,4,2,1
30.0,1,1,114,2.0,40000.0,4,0,0
37.0,0,1,5,9.0,100000.0,0,8,1
48.0,1,2,115,20.0,180000.0,1,1,0
31.0,0,1,13,3.0,55000.0,2,9,0
38.0,1,1,114,9.0,120000.0,2,2,1
45.0,0,3,113,16.0,150000.0,2,9,1
33.0,1,1,16,5.0,70000.0,0,8,0
36.0,0,1,20,8.0,95000.0,3,4,1
49.0,1,2,46,21.0,180000.0,3,0,0
31.0,0,1,76,3.0,50000.0,2,9,0
42.0,1,1,13,12.0,120000.0,4,0,1
47.0,0,2,46,19.0,170000.0,0,0,0
29.0,1,1,94,1.5,35000.0,4,0,0
35.0,0,1,24,9.0,100000.0,4,2,1
44.0,1,3,29,15.0,150000.0,4,2,1
33.0,0,1,20,4.0,60000.0,0,0,0
35.0,1,1,5,8.0,85000.0,2,9,1
44.0,0,1,0,13.0,130000.0,4,0,1
34.0,1,2,70,6.0,80000.0,2,0,1
36.0,0,1,33,8.0,95000.0,2,0,1
30.0,1,1,96,2.0,40000.0,0,6,0
37.0,0,1,59,10.0,120000.0,3,4,1
45.0,1,2,16,16.0,160000.0,2,9,1
32.0,0,1,70,4.0,65000.0,1,1,0
39.0,1,1,13,12.0,130000.0,2,0,1
47.0,0,3,116,20.0,180000.0,3,0,0
29.0,1,1,5,2.0,40000.0,4,5,0
36.0,0,1,15,9.0,100000.0,0,2,1
43.0,1,3,32,15.0,150000.0,1,7,1
32.0,0,1,8,3.0,55000.0,2,0,0
38.0,1,1,20,10.0,110000.0,3,0,1
48.0,0,2,46,21.0,180000.0,3,4,0
31.0,1,1,94,3.0,50000.0,3,3,0
40.0,0,1,12,12.0,130000.0,4,0,1
45.0,1,3,39,16.0,160000.0,4,2,1
33.0,0,1,6,4.0,60000.0,2,2,0
36.0,1,1,16,8.0,95000.0,3,3,1
47.0,0,2,55,19.0,170000.0,3,4,0
29.0,1,1,13,2.0,40000.0,0,8,0
34.0,0,1,114,7.0,90000.0,0,2,1
44.0,1,3,20,15.0,150000.0,0,0,1
33.0,0,1,33,5.0,70000.0,0,6,0
35.0,1,1,24,8.0,90000.0,4,0,1
43.0,0,2,46,18.0,170000.0,3,3,0
31.0,1,1,12,3.0,50000.0,0,2,0
41.0,0,1,6,14.0,150000.0,2,0,1
44.0,1,3,113,16.0,160000.0,2,2,1
33.0,0,1,20,4.0,60000.0,2,9,0
35.0,1,1,5,8.0,85000.0,2,2,1
45.0,0,2,116,19.0,180000.0,3,4,0
28.0,1,1,15,1.0,35000.0,2,2,0
36.0,0,1,59,8.0,110000.0,1,2,1
44.0,1,3,32,16.0,160000.0,3,4,1
31.0,0,1,8,3.0,55000.0,2,9,0
38.0,1,1,20,10.0,110000.0,2,9,1
48.0,0,2,46,21.0,180000.0,2,2,0
31.0,1,1,94,3.0,50000.0,2,9,0
40.0,0,1,12,12.0,130000.0,1,0,1
45.0,1,3,39,16.0,160000.0,0,2,1
33.0,0,1,6,4.0,60000.0,2,0,0
36.0,1,1,16,8.0,95000.0,0,6,1
47.0,0,2,55,19.0,170000.0,0,6,0
29.0,1,1,13,2.0,40000.0,4,5,0
34.0,0,1,114,7.0,90000.0,3,4,1
44.0,1,3,20,15.0,150000.0,0,6,1
33.0,0,1,33,5.0,70000.0,2,0,0
35.0,1,1,24,8.0,90000.0,3,4,1
43.0,0,2,46,18.0,170000.0,2,2,0
31.0,1,1,12,3.0,50000.0,2,9,0
41.0,0,1,6,14.0,150000.0,3,4,1
44.0,1,3,113,16.0,160000.0,4,0,1
33.0,0,1,20,4.0,60000.0,0,6,0
35.0,1,1,5,8.0,85000.0,3,0,1
43.0,0,2,55,19.0,170000.0,3,0,0
29.0,1,1,13,2.0,40000.0,1,2,0
34.0,0,1,114,7.0,90000.0,3,0,1
44.0,1,3,20,15.0,150000.0,0,0,1
31.0,0,2,32,6.0,160000.0,4,0,0
28.0,1,1,0,3.0,125000.0,2,9,0
26.0,0,2,6,2.0,120000.0,3,0,0
27.0,1,1,1,2.0,110000.0,0,8,0
30.0,0,3,32,5.0,180000.0,3,3,0
29.0,1,1,0,4.0,140000.0,4,0,0
32.0,0,1,6,7.0,170000.0,1,2,0
25.0,1,2,1,1.0,100000.0,3,0,0
33.0,0,3,32,8.0,190000.0,0,8,0
31.0,1,1,0,6.0,155000.0,0,6,0
28.0,0,2,6,3.0,130000.0,2,9,0
30.0,1,1,1,5.0,145000.0,1,7,0
27.0,0,3,32,2.0,115000.0,1,7,0
29.0,1,1,0,4.0,140000.0,1,1,0
34.0,0,1,6,9.0,185000.0,3,4,0
25.0,1,2,1,1.0,100000.0,4,5,0
33.0,0,3,32,8.0,190000.0,2,9,0
31.0,1,1,0,6.0,155000.0,0,6,0
28.0,0,2,6,3.0,130000.0,4,0,0
30.0,1,1,1,5.0,145000.0,4,0,0
28.0,0,1,0,3.0,125000.0,3,3,0
26.0,1,2,6,2.0,120000.0,1,0,0
27.0,0,1,1,2.0,110000.0,1,7,0
30.0,1,3,32,5.0,180000.0,3,3,0
29.0,0,1,0,4.0,140000.0,1,1,0
32.0,0,1,6,7.0,170000.0,3,4,0
25.0,1,2,1,1.0,100000.0,4,2,0
33.0,0,3,32,8.0,190000.0,2,2,0
31.0,1,1,0,6.0,155000.0,4,5,0
28.0,0,2,6,3.0,130000.0,2,2,0
30.0,1,1,1,5.0,145000.0,2,2,0
27.0,0,3,32,2.0,115000.0,0,2,0
29.0,1,1,0,4.0,140000.0,4,0,0
34.0,0,1,6,9.0,185000.0,2,0,0
25.0,1,2,1,1.0,100000.0,3,0,0
33.0,0,3,32,8.0,190000.0,0,0,0
31.0,1,1,0,6.0,155000.0,4,5,0
28.0,0,2,6,3.0,130000.0,2,2,0
30.0,1,1,1,5.0,145000.0,2,0,0
28.0,0,1,0,3.0,125000.0,4,2,0
26.0,1,2,6,2.0,120000.0,1,0,0
27.0,0,1,1,2.0,110000.0,4,0,0
30.0,1,3,32,5.0,180000.0,2,9,0
29.0,0,1,0,4.0,140000.0,4,2,0
32.0,0,1,6,7.0,170000.0,1,7,0
25.0,1,2,1,1.0,100000.0,2,9,0
33.0,0,3,32,8.0,190000.0,4,5,0
31.0,1,1,0,6.0,155000.0,3,4,0
28.0,0,2,6,3.0,130000.0,0,8,0
30.0,1,1,1,5.0,145000.0,3,0,0
27.0,0,3,32,2.0,115000.0,4,5,0
29.0,1,1,0,4.0,140000.0,3,3,0
34.0,0,1,6,9.0,185000.0,3,3,0
25.0,1,2,1,1.0,100000.0,3,4,0
33.0,0,3,32,8.0,190000.0,1,2,0
31.0,1,1,0,6.0,155000.0,4,2,0
28.0,0,2,6,3.0,130000.0,4,5,0
30.0,1,1,1,5.0,145000.0,4,5,0
28.0,0,1,0,3.0,125000.0,2,9,0
26.0,1,2,6,2.0,120000.0,0,2,0
27.0,0,1,1,2.0,110000.0,3,0,0
30.0,1,3,32,5.0,180000.0,1,7,0
29.0,0,1,0,4.0,140000.0,2,2,0
32.0,0,1,6,7.0,170000.0,3,3,0
25.0,1,2,1,1.0,100000.0,4,2,0
33.0,0,3,32,8.0,190000.0,1,2,0
31.0,1,1,0,6.0,155000.0,3,4,0
28.0,0,2,6,3.0,130000.0,1,1,0
30.0,1,1,1,5.0,145000.0,1,0,0
27.0,0,3,32,2.0,115000.0,3,3,0
29.0,1,1,0,4.0,140000.0,1,7,0
34.0,0,1,6,9.0,185000.0,3,4,0
25.0,1,2,1,1.0,100000.0,0,8,0
33.0,0,3,32,8.0,190000.0,0,6,0
31.0,1,1,0,6.0,155000.0,4,2,0
28.0,0,2,6,3.0,130000.0,1,2,0
30.0,1,1,1,5.0,145000.0,4,0,0
27.0,0,3,32,2.0,115000.0,3,3,0
29.0,1,1,0,4.0,140000.0,1,1,0
34.0,0,1,6,9.0,185000.0,0,8,0
25.0,1,2,1,1.0,100000.0,4,5,0
33.0,0,3,32,8.0,190000.0,3,4,0
31.0,1,1,0,6.0,155000.0,1,1,0
28.0,0,2,6,3.0,130000.0,2,2,0
30.0,1,1,1,5.0,145000.0,4,2,0
28.0,0,1,0,3.0,125000.0,4,2,0
26.0,1,2,6,2.0,120000.0,4,5,0
27.0,0,1,1,2.0,110000.0,4,2,0
30.0,1,3,32,5.0,180000.0,1,2,0
29.0,0,1,0,4.0,140000.0,1,1,0
32.0,0,1,6,7.0,170000.0,2,0,0
25.0,1,2,1,1.0,100000.0,0,6,0
33.0,0,3,32,8.0,190000.0,3,3,0
31.0,1,1,0,6.0,155000.0,1,2,0
28.0,0,2,6,3.0,130000.0,0,8,0
30.0,1,1,1,5.0,145000.0,4,0,0
27.0,0,3,32,2.0,115000.0,4,2,0
29.0,1,1,0,4.0,140000.0,3,3,0
34.0,0,1,6,9.0,185000.0,3,3,0
25.0,1,2,1,1.0,100000.0,2,2,0
33.0,0,3,32,8.0,190000.0,0,8,0
31.0,1,1,0,6.0,155000.0,0,6,0
28.0,0,2,6,3.0,130000.0,0,2,0
30.0,1,1,1,5.0,145000.0,3,4,0
27.0,0,3,32,2.0,115000.0,0,6,0
29.0,1,1,0,4.0,140000.0,3,4,0
34.0,0,1,6,9.0,185000.0,3,0,0
25.0,1,2,1,1.0,100000.0,0,0,0
33.0,0,3,32,8.0,190000.0,0,8,0
31.0,1,1,0,6.0,155000.0,3,4,0
28.0,0,2,6,3.0,130000.0,2,0,0
30.0,1,1,1,5.0,145000.0,1,0,0
27.0,0,3,32,2.0,115000.0,0,8,0
29.0,1,1,0,4.0,140000.0,1,0,0
34.0,0,1,6,9.0,185000.0,4,2,0
25.0,1,2,1,1.0,100000.0,4,2,0
33.0,0,3,32,8.0,190000.0,2,2,0
31.0,1,1,0,6.0,155000.0,4,5,0
28.0,0,2,6,3.0,130000.0,2,2,0
30.0,1,1,1,5.0,145000.0,3,4,0
27.0,0,3,32,2.0,115000.0,4,0,0
29.0,1,1,0,4.0,140000.0,3,4,0
34.0,0,1,6,9.0,185000.0,2,0,0
25.0,1,2,1,1.0,100000.0,3,3,0
33.0,0,3,32,8.0,190000.0,0,8,0
31.0,1,1,0,6.0,155000.0,1,0,0
28.0,0,2,6,3.0,130000.0,4,0,0
30.0,1,1,1,5.0,145000.0,1,1,0
27.0,0,3,32,2.0,115000.0,0,6,0
29.0,1,1,0,4.0,140000.0,2,2,0
34.0,0,1,6,9.0,185000.0,4,5,0
26.0,0,1,1,3.0,130000.0,4,5,0
29.0,1,2,32,6.0,180000.0,0,2,0
32.0,0,1,0,8.0,190000.0,4,0,0
27.0,1,1,6,4.0,150000.0,0,6,0
24.0,0,1,1,1.0,90000.0,3,4,0
31.0,1,2,32,9.0,195000.0,0,2,0
28.0,0,1,0,5.0,160000.0,3,0,0
33.0,1,2,6,11.0,198000.0,1,7,0
25.0,0,1,1,2.0,110000.0,1,1,0
30.0,1,3,32,7.0,185000.0,3,3,0
27.0,0,1,0,4.0,140000.0,0,8,0
34.0,1,2,6,12.0,196000.0,3,4,0
23.0,0,1,1,1.0,95000.0,3,3,0
32.0,1,3,32,10.0,193000.0,4,0,0
29.0,0,1,0,6.0,175000.0,4,0,0
30.0,1,1,6,5.0,160000.0,4,0,0
26.0,0,1,1,3.0,130000.0,2,9,0
31.0,1,2,32,6.0,180000.0,3,3,0
28.0,0,1,0,5.0,160000.0,1,7,0
33.0,1,2,6,11.0,198000.0,0,8,0
24.0,0,1,1,1.0,90000.0,3,0,0
30.0,1,3,32,7.0,185000.0,2,0,0
27.0,0,1,0,4.0,140000.0,2,9,0
34.0,1,2,6,12.0,196000.0,2,0,0
25.0,0,1,1,2.0,110000.0,3,4,0
29.0,1,2,32,6.0,180000.0,1,0,0
32.0,0,1,0,8.0,190000.0,4,0,0
27.0,1,1,6,4.0,150000.0,3,0,0
31.0,0,1,1,9.0,195000.0,3,3,0
28.0,1,1,0,5.0,160000.0,4,2,0
33.0,0,2,6,11.0,198000.0,0,0,0
26.0,1,1,1,3.0,130000.0,4,0,0
30.0,0,3,32,7.0,185000.0,1,7,0
27.0,1,1,0,4.0,140000.0,0,6,0
34.0,0,2,6,12.0,196000.0,3,3,0
25.0,1,1,1,2.0,110000.0,3,3,0
32.0,0,1,0,8.0,190000.0,0,2,0
29.0,1,2,32,6.0,180000.0,1,0,0
30.0,0,1,1,5.0,160000.0,1,7,0
33.0,1,2,6,11.0,198000.0,1,0,0
24.0,0,1,1,1.0,90000.0,1,7,0
31.0,1,3,32,9.0,195000.0,4,0,0
28.0,0,1,0,5.0,160000.0,4,2,0
27.0,1,1,6,4.0,150000.0,0,0,0
26.0,0,1,1,3.0,130000.0,2,0,0
29.0,1,2,32,6.0,180000.0,2,0,0
32.0,0,1,0,8.0,190000.0,3,0,0
33.0,1,2,6,11.0,198000.0,0,0,0
25.0,0,1,1,2.0,110000.0,4,0,0
30.0,1,3,32,7.0,185000.0,1,2,0
27.0,0,1,0,4.0,140000.0,3,4,0
34.0,1,2,6,12.0,196000.0,0,8,0
31.0,0,1,1,9.0,195000.0,2,2,0
